Item                                , Quantity         , Cost (USD), Purchase Link                                                                                                                 , 
1N4148 Diodes                       , 90 Pack          , 1.52      , https://stackskb.com/store/1n4148-through-hole-diode/                                                                         , 
Akko Bittersweet Switch             , 90 Pack          , 34        , https://stackskb.com/store/akko-bittersweet-switch-pack-of-45/                                                                , 
EC11 Rotary Encoder                 , 1                , 0.43      , https://www.flyrobo.in/ec11-rotary-encoder-half-shaft-handle-potentiometer-15mm                                               , 
Orpheus Pico                        , 1                , -         , Hack Club                                                                                                                     , 
Gateron Hotswap Sockets             , 90 Pack          , 10.3      , https://stackskb.com/store/gateron-hotswap-sockets/                                                                           , 
Durock v2 Stabilizers Set           , 1                , 17.98     , https://stackskb.com/store/durock-clear-screw-in-stabilizers-v2/?attribute_combination=4%2B1+Set&attribute_spacebar-size=6.25U, 
Keycap Set                          , 1                , 22.29     , https://curiositycaps.in/products/apollo-inspired-quality-cherry-doubleshot-pbt-keycaps?variant=51076299850009                , 
Socket Head M3x12 Screws            , 3x2              , 0.15      , https://omrook.com/ss-allen-bolt-m3-x-12mm-dia-3mm-length-12mm-stainless-steel-ss202-socket-head-cap-screws/                                                 , 
Socket Head M3x25 Screws            , 3x2              , 0.2       , https://omrook.com/ss-allen-bolt-m3-x-25mm-dia-3mm-length-25mm-stainless-steel-ss202-socket-head-cap-screws/                                                   , 
M3 X 4mm Brass Threaded Inserts     , 6x2              , 1         , https://omrook.com/m3-x-4-brass-threaded-inserts-nut-50pc/                                                                , 
"Bottom Case, Top Case, Plate, Knob", 1                , -         , (3D Printed)                                                                                                                  , 
PCB (PCB Power)                     , 1                , 58.2      , https://www.pcbpower.com/                                                                                                     , 
                                    , Components Total:, 146.07    ,                                                                                                                               , 
Shipping:                           , Omrook           , 1.15      ,                                                                                                                               , 
                                    , Stackskb         , 0         ,                                                                                                                               , 
                                    , FlyRobo          , 0.67      ,                                                                                                                               , 
                                    , Curiosity Caps   , 0         ,                                                                                                                               , 
                                    , PCB Power        , 0         ,                                                                                                                               , 
                                    , Shipping Total:  , 1.82      ,                                                                                                                               , 
                                    , Total:           , 147.89    ,                                                                                                                               , 
